customer_id,pre_orders,crisis_orders,total_spend,segment
CUST000007,1,0,239.39,One-Timer
CUST000008,1,0,246.05,One-Timer
CUST000009,1,2,983.8199999999999,Other Active
CUST000010,3,0,652.0799999999999,Lapsed Loyalist
CUST000011,1,0,146.56,One-Timer
CUST000015,1,0,262.57,One-Timer
CUST000017,1,0,300.79,One-Timer
CUST000019,1,0,198.13,One-Timer
CUST000020,3,0,1139.1799999999998,Lapsed Loyalist
CUST000025,1,0,349.72,One-Timer
CUST000027,2,0,577.91,Lapsed Loyalist
CUST000039,1,0,475.76,One-Timer
CUST000043,1,0,341.14,One-Timer
CUST000044,1,1,734.8199999999999,Other Active
CUST000049,1,0,342.58,One-Timer
CUST000056,1,0,181.91,One-Timer
CUST000057,2,0,792.75,Lapsed Loyalist
CUST000059,1,0,464.02,One-Timer
CUST000060,1,1,741.5799999999999,Other Active
CUST000065,1,0,355.21,One-Timer
CUST000066,1,0,364.73,One-Timer
CUST000072,1,0,259.48,One-Timer
CUST000073,2,1,1477.86,Other Active
CUST000075,2,0,745.24,Lapsed Loyalist
CUST000083,3,0,895.8599999999999,Lapsed Loyalist
CUST000084,1,0,506.89,One-Timer
CUST000087,1,0,449.03,One-Timer
CUST000088,3,0,1340.03,Lapsed Loyalist
CUST000090,1,0,302.16,One-Timer
CUST000097,1,0,321.53,One-Timer
CUST000098,2,0,512.29,Lapsed Loyalist
CUST000100,1,0,401.25,One-Timer
CUST000102,1,0,485.89,One-Timer
CUST000103,1,0,333.42,One-Timer
CUST000105,1,0,224.7,One-Timer
CUST000107,1,0,418.58,One-Timer
CUST000108,1,0,272.97,One-Timer
CUST000109,1,0,489.28,One-Timer
CUST000113,2,0,721.55,Lapsed Loyalist
CUST000115,2,0,727.37,Lapsed Loyalist
CUST000117,1,0,216.84,One-Timer
CUST000120,2,0,567.1,Lapsed Loyalist
CUST000121,1,0,471.47,One-Timer
CUST000123,1,0,297.25,One-Timer
CUST000124,1,0,279.31,One-Timer
CUST000127,3,0,786.8399999999999,Lapsed Loyalist
CUST000128,1,0,259.37,One-Timer
CUST000129,1,0,547.1,One-Timer
CUST000134,1,0,216.94,One-Timer
CUST000135,1,0,407.09,One-Timer
CUST000139,2,0,486.78,Lapsed Loyalist
CUST000140,1,0,563.25,One-Timer
CUST000142,1,0,364.61,One-Timer
CUST000143,1,0,285.54,One-Timer
CUST000144,1,0,237.46,One-Timer
CUST000146,2,0,643.4,Lapsed Loyalist
CUST000147,2,0,428.54999999999995,Lapsed Loyalist
CUST000149,1,0,658.0,One-Timer
CUST000150,1,0,321.94,One-Timer
CUST000151,1,1,779.3199999999999,Other Active
CUST000153,1,0,464.79,One-Timer
CUST000154,1,0,338.98,One-Timer
CUST000155,1,0,371.52,One-Timer
CUST000158,1,0,300.01,One-Timer
CUST000159,2,0,894.5,Lapsed Loyalist
CUST000161,1,0,564.52,One-Timer
CUST000163,2,0,931.05,Lapsed Loyalist
CUST000165,2,0,511.24,Lapsed Loyalist
CUST000166,1,0,294.01,One-Timer
CUST000168,1,1,838.6700000000001,Other Active
CUST000170,1,0,379.75,One-Timer
CUST000174,1,0,463.8,One-Timer
CUST000175,2,0,808.23,Lapsed Loyalist
CUST000178,1,0,329.38,One-Timer
CUST000180,1,0,383.75,One-Timer
CUST000188,1,0,702.95,One-Timer
CUST000190,2,0,1026.29,Lapsed Loyalist
CUST000193,2,0,758.27,Lapsed Loyalist
CUST000194,1,0,372.24,One-Timer
CUST000198,1,0,625.25,One-Timer
CUST000200,2,0,647.3199999999999,Lapsed Loyalist
CUST000201,2,0,588.06,Lapsed Loyalist
CUST000203,1,1,618.13,Other Active
CUST000211,2,1,1055.79,Other Active
CUST000214,2,0,621.2,Lapsed Loyalist
CUST000215,2,0,585.88,Lapsed Loyalist
CUST000217,1,1,699.88,Other Active
CUST000219,1,0,234.22,One-Timer
CUST000220,1,0,239.02,One-Timer
CUST000221,1,0,445.41,One-Timer
CUST000222,1,0,248.49,One-Timer
CUST000231,1,0,301.22,One-Timer
CUST000242,1,0,277.93,One-Timer
CUST000243,1,0,266.39,One-Timer
CUST000245,1,0,403.65,One-Timer
CUST000252,2,0,524.6,Lapsed Loyalist
CUST000257,1,1,676.3299999999999,Other Active
CUST000265,1,0,368.73,One-Timer
CUST000266,1,0,397.91,One-Timer
CUST000268,1,0,257.39,One-Timer
CUST000269,3,1,1691.1000000000001,Other Active
CUST000270,1,0,490.01,One-Timer
CUST000278,1,0,234.57,One-Timer
CUST000280,1,0,486.02,One-Timer
CUST000281,1,0,923.43,One-Timer
CUST000286,2,0,521.1,Lapsed Loyalist
CUST000289,2,0,497.01,Lapsed Loyalist
CUST000291,1,0,340.74,One-Timer
CUST000293,1,0,389.5,One-Timer
CUST000302,1,0,415.7,One-Timer
CUST000305,1,0,453.19,One-Timer
CUST000309,1,0,492.76,One-Timer
CUST000310,1,0,505.52,One-Timer
CUST000313,2,0,826.2,Lapsed Loyalist
CUST000317,1,0,244.71,One-Timer
CUST000318,1,0,469.64,One-Timer
CUST000319,1,0,263.49,One-Timer
CUST000320,1,0,382.15,One-Timer
CUST000324,1,0,188.44,One-Timer
CUST000325,1,0,325.42,One-Timer
CUST000326,1,0,388.28,One-Timer
CUST000328,1,0,325.32,One-Timer
CUST000329,1,0,392.94,One-Timer
CUST000331,2,0,494.9,Lapsed Loyalist
CUST000334,1,0,496.58,One-Timer
CUST000337,1,0,260.98,One-Timer
